time,hka,mldfa,mpta,jlca,delta,mldta
2.01,141.915,121.292,75.952,-7.256,0.0010000000000047748,140.48
2.02,141.976,121.27,75.941,-7.305,7.105427357601002e-15,140.508
2.03,142.057,121.231,75.918,-7.37,2.1316282072803006e-14,140.577
2.04,142.147,121.181,75.9,-7.427,-0.0009999999999834586,140.637
2.05,142.269,121.136,75.881,-7.524,0.0,140.706
2.06,142.418,121.066,75.855,-7.63,0.0009999999999976694,140.801
2.07,142.549,121.02,75.837,-7.732,0.0,140.869
2.08,142.698,120.955,75.812,-7.841,-7.105427357601002e-15,140.958
2.09,142.828,120.907,75.788,-7.947,0.0,141.013
2.1,142.917,120.878,75.776,-8.019,-7.105427357601002e-15,141.032
2.11,143.03,120.816,75.749,-8.097,-7.105427357601002e-15,141.094
2.12,143.176,120.746,75.717,-8.205,1.4210854715202004e-14,141.183
2.13,143.352,120.661,75.678,-8.336,0.000999999999990564,141.321
2.14,143.537,120.603,75.65,-8.491,0.0010000000000047748,141.381
2.15,143.79,120.507,75.606,-8.691,0.0,141.522
2.16,144.08,120.421,75.564,-8.938,0.0009999999999763531,141.652
2.17,144.422,120.304,75.515,-9.211,0.0,141.787
2.18,144.784,120.186,75.461,-9.509,0.0,141.919
2.19,145.121,120.07,75.41,-9.781,-7.105427357601002e-15,142.007
2.2,145.441,119.966,75.362,-10.044,-0.0010000000000047748,142.062
2.21,145.736,119.839,75.309,-10.266,7.105427357601002e-15,142.123
2.22,146.192,119.704,75.231,-10.666,0.000999999999990564,142.282
2.23,146.57,119.564,75.165,-10.97,0.0010000000000189857,142.415
2.24,147.017,119.401,75.085,-11.333,0.0,142.609
2.25,147.507,119.227,75.002,-11.733,0.000999999999990564,142.828
2.26,148.087,119.061,74.904,-12.244,0.0,143.092
2.27,148.608,118.879,74.827,-12.66,-1.0658141036401503e-14,143.289
2.28,149.124,118.777,74.758,-13.143,0.0,143.442
2.29,149.648,118.601,74.674,-13.575,1.0658141036401503e-14,143.653
2.3,150.197,118.438,74.596,-14.04,0.0009999999999976694,143.845
2.31,150.707,118.287,74.512,-14.482,0.0,144.045
2.32,151.255,118.171,74.434,-14.992,-3.552713678800501e-15,144.23
2.33,151.763,118.016,74.349,-15.429,-0.0010000000000047748,144.448
2.34,152.277,117.845,74.268,-15.853,-0.0009999999999834586,144.683
2.35,152.813,117.703,74.188,-16.328,1.0658141036401503e-14,144.916
2.36,153.354,117.518,74.105,-16.767,-1.0658141036401503e-14,145.176
2.37,153.894,117.344,74.02,-17.218,-3.552713678800501e-15,145.432
2.38,154.373,117.154,73.938,-17.589,1.4210854715202004e-14,145.664
2.39,154.887,117.041,73.876,-18.051,-0.0009999999999941167,145.843
2.4,155.294,117.007,73.849,-18.452,-1.0658141036401503e-14,145.902
2.41,155.81,116.836,73.757,-18.889,3.552713678800501e-15,146.206
2.42,156.271,116.736,73.703,-19.305,0.0010000000000118803,146.379
2.43,156.698,116.612,73.641,-19.669,3.552713678800501e-15,146.591
2.44,157.079,116.527,73.597,-20.009,-1.4210854715202004e-14,146.734
2.45,157.418,116.466,73.567,-20.317,-7.105427357601002e-15,146.828
2.46,157.778,116.395,73.531,-20.642,1.7763568394002505e-14,146.947
2.47,158.1,116.273,73.479,-20.894,7.105427357601002e-15,147.12
2.48,158.348,116.196,73.457,-21.087,-1.7763568394002505e-14,147.179
2.49,158.707,116.09,73.4,-21.396,-0.000999999999990564,147.362
2.5,159.023,115.992,73.349,-21.666,3.552713678800501e-15,147.514
2.51,159.339,115.892,73.304,-21.927,7.105427357601002e-15,147.641
2.52,159.619,115.821,73.269,-22.171,7.105427357601002e-15,147.717
2.53,159.938,115.738,73.229,-22.447,1.0658141036401503e-14,147.816
2.54,160.193,115.684,73.201,-22.676,-1.7763568394002505e-14,147.846
2.55,160.505,115.621,73.162,-22.964,1.4210854715202004e-14,147.927
2.56,160.803,115.551,73.127,-23.227,-3.552713678800501e-15,147.985
2.57,161.137,115.448,73.078,-23.507,1.0658141036401503e-14,148.109
2.58,161.467,115.371,73.04,-23.798,-3.552713678800501e-15,148.188
2.59,161.826,115.262,72.989,-24.099,1.0658141036401503e-14,148.32
2.6,162.25,115.169,72.938,-24.48,-0.0009999999999941167,148.456
2.61,162.621,115.092,72.894,-24.82,0.0009999999999976694,148.549
2.62,162.949,115.055,72.867,-25.137,-1.4210854715202004e-14,148.557
2.63,163.295,114.997,72.83,-25.463,0.0010000000000118803,148.608
2.64,163.638,114.92,72.79,-25.768,0.0,148.658
2.65,163.945,114.895,72.77,-26.07,7.105427357601002e-15,148.629
2.66,164.274,114.839,72.74,-26.372,-0.0010000000000047748,148.629
2.67,164.611,114.767,72.706,-26.672,1.7763568394002505e-14,148.659
2.68,165.032,114.57,72.612,-26.99,-1.0658141036401503e-14,148.913
2.69,165.365,114.549,72.604,-27.31,-1.7763568394002505e-14,148.857
2.7,165.728,114.516,72.582,-27.662,-2.1316282072803006e-14,148.855
2.71,166.097,114.419,72.543,-27.972,-0.0009999999999976694,148.941
2.72,166.405,114.39,72.528,-28.267,3.552713678800501e-15,148.924
2.73,166.736,114.329,72.495,-28.571,0.0010000000000225384,148.979
2.74,167.065,114.268,72.464,-28.869,0.0,149.037
2.75,167.368,114.191,72.433,-29.127,0.0010000000000083276,149.119
2.76,167.708,114.138,72.403,-29.443,3.552713678800501e-15,149.193
2.77,167.959,114.059,72.387,-29.631,0.0,149.217
2.78,168.267,113.986,72.359,-29.894,-7.105427357601002e-15,149.292
2.79,168.538,113.945,72.339,-30.144,-7.105427357601002e-15,149.332
2.8,168.804,113.869,72.301,-30.372,0.0,149.438
2.81,169.048,113.791,72.286,-30.553,3.552713678800501e-15,149.469
2.82,169.273,113.738,72.269,-30.743,0.0010000000000083276,149.506
2.83,169.547,113.634,72.232,-30.949,3.552713678800501e-15,149.636
2.84,169.8,113.56,72.219,-31.141,-2.1316282072803006e-14,149.652
2.85,170.061,113.554,72.204,-31.41,-0.001000000000015433,149.632
2.86,170.263,113.502,72.202,-31.563,-3.552713678800501e-15,149.582
2.87,170.483,113.512,72.197,-31.798,-3.552713678800501e-15,149.503
2.88,170.705,113.48,72.194,-31.991,-1.4210854715202004e-14,149.424
2.89,170.938,113.486,72.19,-32.235,0.0010000000000047748,149.329
2.9,171.168,113.479,72.186,-32.462,0.0010000000000047748,149.226
2.91,171.381,113.5,72.188,-32.694,0.0010000000000047748,149.105
2.92,171.59,113.48,72.179,-32.891,-7.105427357601002e-15,149.043
2.93,171.76,113.46,72.185,-33.034,-0.0009999999999834586,148.923
2.94,171.986,113.47,72.174,-33.282,1.4210854715202004e-14,148.885
2.95,172.137,113.429,72.169,-33.397,-7.105427357601002e-15,148.847
2.96,172.284,113.415,72.165,-33.534,7.105427357601002e-15,148.814
2.97,172.393,113.426,72.166,-33.653,-7.105427357601002e-15,148.754
2.98,172.519,113.454,72.169,-33.805,0.0009999999999976694,148.711
2.99,172.574,113.437,72.151,-33.859,-0.0010000000000118803,148.745
3.0,172.604,113.449,72.162,-33.891,-7.105427357601002e-15,148.669
3.01,172.657,113.468,72.168,-33.957,-7.105427357601002e-15,148.61
3.02,172.611,113.438,72.174,-33.876,0.0010000000000118803,148.557
3.03,172.619,113.481,72.19,-33.91,0.0,148.436
3.04,172.58,113.477,72.191,-33.867,0.0009999999999834586,148.397
3.05,172.569,113.499,72.197,-33.872,0.0010000000000189857,148.341
3.06,172.501,113.53,72.219,-33.813,0.000999999999990564,148.215
3.07,172.431,113.558,72.226,-33.764,0.0009999999999834586,148.164
3.08,172.353,113.58,72.235,-33.698,-7.105427357601002e-15,148.119
3.09,172.299,113.592,72.232,-33.659,-7.105427357601002e-15,148.144
3.1,172.196,113.592,72.23,-33.558,7.105427357601002e-15,148.192
3.11,172.066,113.598,72.227,-33.437,0.0,148.263
3.12,171.967,113.614,72.223,-33.358,-2.1316282072803006e-14,148.339
3.13,171.806,113.625,72.223,-33.208,-1.4210854715202004e-14,148.399
3.14,171.692,113.648,72.225,-33.115,-7.105427357601002e-15,148.441
3.15,171.555,113.661,72.226,-32.99,-7.105427357601002e-15,148.482
3.16,171.473,113.685,72.227,-32.931,-1.4210854715202004e-14,148.517
3.17,171.339,113.701,72.237,-32.803,0.0,148.504
3.18,171.268,113.714,72.24,-32.741,-0.0010000000000047748,148.509
3.19,171.144,113.727,72.254,-32.617,-7.105427357601002e-15,148.456
3.2,171.052,113.749,72.26,-32.542,0.0010000000000189857,148.427
3.21,170.947,113.763,72.272,-32.438,0.0,148.384
3.22,170.849,113.788,72.288,-32.349,7.105427357601002e-15,148.333
3.23,170.742,113.802,72.297,-32.247,0.0,148.318
3.24,170.654,113.823,72.296,-32.181,1.4210854715202004e-14,148.358
3.25,170.51,113.826,72.31,-32.026,2.1316282072803006e-14,148.34
3.26,170.374,113.824,72.308,-31.89,1.4210854715202004e-14,148.403
3.27,170.209,113.857,72.32,-31.747,0.000999999999990564,148.399
3.28,170.032,113.877,72.326,-31.583,-1.4210854715202004e-14,148.423
3.29,169.827,113.911,72.341,-31.396,-0.0010000000000047748,148.404
3.3,169.584,113.956,72.361,-31.179,-3.552713678800501e-15,148.357
