Trajectories																		
100																		
	KNEE MODEL:SHIN1			KNEE MODEL:SHIN3			KNEE MODEL:SHIN2			KNEE MODEL:THIGH2			KNEE MODEL:THIGH3			KNEE MODEL:THIGH1		
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
99	-73.5535	561.458	284.345	-137.391	449.362	215.016	49.5054	543.535	197.133	-25.1835	377.535	36.4977	-1.24987	375.51	21.6063	15	400.262	33.5265
100	-73.6244	561.434	284.359	-137.428	449.327	215.008	49.4557	543.54	197.175	-25.1537	377.532	36.532	-1.23729	375.514	21.6152	14.9986	400.264	33.5351
101	-73.6736	561.389	284.375	-137.442	449.268	214.996	49.4232	543.54	197.206	-25.1326	377.532	36.5358	-1.21514	375.522	21.622	14.8406	400.267	33.4245
102	-73.7323	561.335	284.403	-137.468	449.225	214.998	49.3838	543.526	197.248	-25.1602	377.533	36.5332	-1.23352	375.517	21.6225	14.8351	400.265	33.4301
103	-73.7658	561.271	284.412	-137.494	449.165	214.984	49.3441	543.492	197.259	-25.1731	377.532	36.505	-1.25038	375.51	21.6142	15.0128	400.255	33.5406
104	-73.8178	561.204	284.432	-137.528	449.104	214.97	49.3001	543.458	197.275	-25.1815	377.52	36.4972	-1.26782	375.498	21.6008	14.8237	400.252	33.4164
105	-73.8827	561.146	284.455	-137.561	449.048	214.964	49.2569	543.441	197.31	-25.1859	377.52	36.4943	-1.27034	375.496	21.5969	14.9923	400.25	33.5293
106	-73.93	561.065	284.494	-137.568	448.973	214.959	49.2225	543.418	197.354	-25.1837	377.52	36.4935	-1.26246	375.503	21.5992	14.9921	400.254	33.5264
107	-74.0039	561.015	284.514	-137.608	448.915	214.941	49.1718	543.407	197.416	-25.1716	377.524	36.5038	-1.24533	375.504	21.6094	15.0027	400.258	33.5381
108	-74.0962	560.975	284.519	-137.644	448.865	214.92	49.1105	543.432	197.438	-25.1596	377.53	36.502	-1.23542	375.505	21.6126	14.8294	400.263	33.4195
109	-74.1805	560.95	284.522	-137.695	448.836	214.893	49.0535	543.427	197.469	-25.1639	377.527	36.502	-1.23736	375.51	21.6179	15.0041	400.257	33.5407
110	-74.2093	560.924	284.512	-137.701	448.802	214.887	49.0315	543.426	197.465	-25.168	377.525	36.4902	-1.2435	375.5	21.6039	15.0055	400.245	33.5273
111	-74.2393	560.912	284.511	-137.738	448.804	214.872	49.0022	543.412	197.467	-25.1819	377.518	36.494	-1.26677	375.492	21.6016	14.9955	400.241	33.5296
112	-74.27	560.936	284.472	-137.742	448.799	214.852	48.9816	543.434	197.441	-25.1769	377.51	36.4821	-1.26579	375.483	21.5901	14.9869	400.232	33.5149
113	-74.2869	560.963	284.453	-137.777	448.827	214.84	48.9655	543.448	197.429	-25.1927	377.507	36.4904	-1.27469	375.48	21.5944	14.8179	400.209	33.4163
114	-74.2619	560.995	284.428	-137.75	448.85	214.83	48.9895	543.456	197.411	-25.1823	377.507	36.4774	-1.26971	375.482	21.5849	14.9985	400.228	33.5205
115	-74.2017	561.027	284.43	-137.724	448.883	214.852	49.0275	543.462	197.397	-25.1812	377.503	36.4885	-1.26425	375.478	21.597	14.9968	400.227	33.533
116	-74.1464	561.078	284.394	-137.685	448.922	214.846	49.0832	543.464	197.379	-25.1394	377.489	36.4867	-1.23325	375.475	21.5947	15.0107	400.225	33.5183
117	-74.1381	561.133	284.372	-137.687	448.962	214.845	49.0865	543.507	197.351	-25.1343	377.488	36.4914	-1.22547	375.473	21.6064	15.0057	400.224	33.5247
118	-74.1104	561.184	284.328	-137.668	449.013	214.821	49.1212	543.514	197.313	-25.1234	377.487	36.4783	-1.20734	375.474	21.5927	15.0157	400.22	33.5005
119	-74.095	561.212	284.32	-137.675	449.043	214.833	49.1126	543.533	197.287	-25.1686	377.497	36.4806	-1.23506	375.476	21.591	15.0135	400.228	33.5162
120	-74.053	561.23	284.304	-137.652	449.075	214.825	49.1476	543.523	197.261	-25.1553	377.507	36.4652	-1.24359	375.48	21.5722	15.03	400.234	33.5051
121	-74.0245	561.26	284.314	-137.655	449.104	214.848	49.152	543.532	197.249	-25.1737	377.515	36.4784	-1.26465	375.486	21.5829	15.0155	400.243	33.5228
122	-73.9776	561.29	284.308	-137.629	449.136	214.85	49.1846	543.547	197.251	-25.1559	377.524	36.4776	-1.24916	375.501	21.5829	15.015	400.255	33.5163
123	-73.9867	561.316	284.316	-137.623	449.162	214.872	49.1976	543.559	197.265	-25.1663	377.535	36.4851	-1.24586	375.515	21.6019	14.9973	400.266	33.526
124	-73.9753	561.345	284.295	-137.609	449.187	214.858	49.2021	543.586	197.243	-25.1587	377.539	36.477	-1.22901	375.524	21.5952	15.001	400.266	33.5092
125	-73.9771	561.368	284.292	-137.629	449.214	214.869	49.2024	543.581	197.235	-25.183	377.54	36.4815	-1.24624	375.521	21.5946	14.9932	400.27	33.5151
126	-73.9113	561.388	284.269	-137.608	449.241	214.861	49.2365	543.584	197.183	-25.1785	377.532	36.4711	-1.25234	375.512	21.5822	15.0055	400.259	33.5051
127	-73.8499	561.409	284.274	-137.582	449.268	214.89	49.2871	543.557	197.172	-25.1964	377.522	36.4713	-1.2704	375.498	21.5824	14.9936	400.253	33.5173
128	-73.7367	561.421	284.278	-137.524	449.298	214.918	49.3633	543.536	197.13	-25.192	377.511	36.4665	-1.26536	375.488	21.588	14.9959	400.239	33.5156
129	-73.6365	561.421	284.312	-137.475	449.32	214.962	49.4318	543.501	197.14	-25.198	377.508	36.4771	-1.26859	375.486	21.5927	14.9854	400.239	33.5164
130	-73.5428	561.404	284.338	-137.416	449.321	214.99	49.5032	543.474	197.135	-25.181	377.51	36.4726	-1.26532	375.49	21.5836	14.9853	400.237	33.5043
131	-73.5127	561.368	284.377	-137.394	449.302	215.012	49.5242	543.442	197.154	-25.1834	377.511	36.4782	-1.27895	375.489	21.5795	14.9761	400.242	33.5047
132	-73.5178	561.333	284.401	-137.397	449.271	215.009	49.5228	543.423	197.188	-25.1728	377.522	36.4741	-1.26425	375.496	21.5812	14.9865	400.245	33.5009
133	-73.5846	561.287	284.428	-137.432	449.235	215.005	49.4708	543.425	197.214	-25.1858	377.533	36.4751	-1.25868	375.509	21.5868	14.8046	400.257	33.3928
134	-73.6509	561.231	284.442	-137.463	449.17	214.985	49.43	543.409	197.265	-25.1814	377.533	36.4723	-1.24777	375.513	21.5919	14.9893	400.262	33.5085
135	-73.7418	561.165	284.46	-137.508	449.105	214.962	49.3537	543.407	197.295	-25.1822	377.539	36.4702	-1.25107	375.515	21.5888	14.8191	400.264	33.4022
136	-73.8338	561.096	284.471	-137.547	449.032	214.935	49.2945	543.382	197.332	-25.1845	377.536	36.4638	-1.27679	375.512	21.5676	14.9965	400.254	33.508
137	-73.8938	561.025	284.485	-137.581	448.97	214.915	49.2464	543.367	197.356	-25.1872	377.532	36.4577	-1.28809	375.505	21.5536	14.9984	400.249	33.4995
138	-73.9453	560.978	284.505	-137.595	448.929	214.917	49.2187	543.346	197.387	-25.187	377.526	36.458	-1.28326	375.499	21.5576	14.9938	400.247	33.5013
139	-73.959	560.941	284.523	-137.597	448.896	214.921	49.2116	543.331	197.414	-25.1759	377.522	36.4609	-1.27472	375.495	21.5628	14.807	400.247	33.3821
140	-73.9554	560.92	284.552	-137.59	448.875	214.932	49.2157	543.326	197.436	-25.1733	377.515	36.4723	-1.25924	375.498	21.5749	14.9791	400.241	33.5038
141	-73.9632	560.91	284.549	-137.587	448.858	214.922	49.2058	543.317	197.442	-25.1669	377.519	36.4711	-1.24854	375.498	21.5814	14.9835	400.242	33.5017
142	-74.0009	560.883	284.547	-137.629	448.846	214.914	49.1717	543.318	197.444	-25.1942	377.521	36.47	-1.26687	375.498	21.5797	14.9865	400.237	33.508
143	-74.022	560.864	284.54	-137.652	448.834	214.894	49.1517	543.299	197.432	-25.2013	377.522	36.4504	-1.27337	375.492	21.571	14.9937	400.24	33.5035
144	-74.0407	560.843	284.56	-137.658	448.817	214.907	49.1339	543.296	197.435	-25.2077	377.521	36.4576	-1.28374	375.491	21.5697	14.8099	400.244	33.3898
145	-74.0082	560.82	284.58	-137.623	448.797	214.918	49.1588	543.277	197.452	-25.1752	377.519	36.4593	-1.26882	375.492	21.5672	14.9837	400.237	33.4912
146	-74.0002	560.801	284.615	-137.612	448.781	214.947	49.1786	543.272	197.482	-25.1659	377.517	36.4812	-1.26174	375.494	21.5785	14.9827	400.245	33.5083
147	-73.9738	560.8	284.619	-137.582	448.778	214.945	49.1959	543.272	197.494	-25.1534	377.521	36.4719	-1.24747	375.498	21.5792	14.9921	400.241	33.496
148	-73.9986	560.793	284.631	-137.614	448.777	214.947	49.1852	543.266	197.504	-25.1758	377.525	36.4793	-1.25285	375.5	21.5889	14.9884	400.245	33.5083
149	-74	560.797	284.601	-137.62	448.775	214.925	49.1686	543.27	197.478	-25.1806	377.522	36.4562	-1.25332	375.5	21.5714	14.9997	400.246	33.4955
150	-74.0394	560.811	284.591	-137.661	448.793	214.917	49.1346	543.275	197.464	-25.2151	377.521	36.455	-1.28301	375.495	21.5721	14.7996	400.244	33.3876
151	-74.0245	560.839	284.555	-137.649	448.809	214.898	49.1441	543.291	197.432	-25.2026	377.514	36.4445	-1.26757	375.488	21.5597	14.9884	400.232	33.4867
152	-74.0259	560.865	284.557	-137.667	448.831	214.915	49.1421	543.299	197.432	-25.2122	377.513	36.4573	-1.28035	375.488	21.5694	14.9704	400.231	33.4946
153	-73.9758	560.887	284.537	-137.612	448.849	214.906	49.191	543.303	197.413	-25.1776	377.51	36.4501	-1.26662	375.483	21.5593	14.9916	400.226	33.4831
154	-73.9446	560.882	284.558	-137.6	448.847	214.936	49.2169	543.293	197.433	-25.1857	377.507	36.4669	-1.27107	375.485	21.5714	14.9854	400.232	33.4997
